doc_pair_id,original_text,revised_text,,,,
1,All employees must complete security training annually.,Employees are required to undergo yearly security training.,,,,
2,Data backups should be stored offsite to prevent loss.,Store backups at an offsite location to avoid data loss.,,,,
3,Users must change their passwords every 90 days.,Passwords must be updated by users at least once every quarter.,,,,
4,Incidents must be reported to the IT helpdesk immediately.,Report any security incidents to IT support without delay.,,,,
5,Access to confidential data requires manager approval.,Manager approval is required for confidential data access.,,,,
6,Mobile devices must be encrypted before connecting to the network.,Encrypt mobile devices prior to network connection.,,,,
7,Software updates are applied monthly by the admin team.,The admin team applies software updates on a monthly basis.,,,,
8,Physical access badges should be worn at all times on premises.,Wear physical access badges at all times while on company premises.,,,,
9,All remote sessions must use VPN with MFA enabled.,Enable MFA on VPN for all remote sessions.,,,,
10,System logs must be retained for a minimum of one year.,Retain system logs for at least one year.,,,,
